SMILES,Title
COc(cc1)c(OC)cc1[C@H](CO)Nc(n2CCOC)nc(c23)n(C)c(=O)n(C)c3=O,HY-100164
[O-]C(=O)CN(CC([O-])=O)c1c(cccc1)OCCOc(c2N(CC([O-])=O)CC([O-])=O)cccc2,HY-100168
NC(=O)c1c(N)nc(c(n1)Cl)N(C[C@@H]2CC)CC[N@@H+]2C3CCN(CC3)Cc4ccc(Cl)cc4,HY-10017
NC(=O)c1c(N)nc(c(n1)Cl)N(C[C@@H]2CC)CC[N@H+]2C3CCN(CC3)Cc4ccc(Cl)cc4,HY-10017
CCOC(=O)C(=C1)CC(N)=Nc(c12)cc(C(F)(F)C(F)(F)F)cc2,HY-10018
OC[C@H](O1)CN(C1=O)c(cc2)cc(F)c2N(C=[NH+]3)CCN3C,HY-100180
CC(C)(O)C(=O)NCc1cc(ccc1)Cn(c(c23)cccc3OC)nc2[N-]S(=O)(=O)c4ccc(s4)Cl,HY-100183
CC(F)(F)c(n1)nn(c12)c(cc(n2)C)Nc3ccc(S(F)(F)(F)(F)F)cc3,HY-100184
FC(F)(F)c1c(C#N)ccc(c12)n(cc2)[C@H](C)CS(=O)(=O)C,HY-100186
C1[NH2+]C[C@H]2C[C@@H]1c(c23)cc4c(c3)nccn4,HY-10019
C[NH+](C)C[C@@H](C)Oc(c1C#N)nc(cn1)Nc(nc2)cc(c23)cccc3Cl,HY-100195
C[NH+](C)C[C@@H](C)Oc(c1C#N)nc(cn1)\N=c([nH]c2)\cc(c23)cccc3Cl,HY-100195
C[NH+](C)C[C@@H](C)Oc(c1C#N)nc(cn1)[N-]c(nc2)cc(c23)cccc3Cl,HY-100195
[O-]C(=O)c(c1)[nH]c(c12)c3c(C(=O)C2=O)nc(C([O-])=O)cc3C([O-])=O,HY-100196
[O-]C(=O)c(c1)[n-]c(c12)c3c(C(=O)C2=O)nc(C([O-])=O)cc3C([O-])=O,HY-100196
[O-]C(=O)c(c1)[nH]c(c12)c3c(C(=O)C2=O)nc(C([O-])=O)cc3C([O-])=O,HY-100196A
[O-]C(=O)c(c1)[n-]c(c12)c3c(C(=O)C2=O)nc(C([O-])=O)cc3C([O-])=O,HY-100196A
c1ccccc1Cc2c(C)nn(c2O)-c(n3)[nH]c(c34)cc(C)cc4,HY-100199
C1[NH2+]C[C@H]2C[C@@H]1c(c23)cc4c(c3)nccn4,HY-10020
C=CCNc1ncnc(c12)ccc(Br)c2,HY-100200
C1CCCC1Nc(c(c23)cc(Cl)c(Cl)c3)nnc2-c4ccncc4,HY-100201
n1ccccc1CN(Cc2ccccn2)CC[NH+](Cc3ccccn3)Cc4ccccn4,HY-100202
c1cccc(c12)n(C)cc2C3=C(C(=O)NC3=O)c4cc(N)ccc4,HY-100207
c1cccc(c12)n(C)cc2C3=C(C([O-])=NC3=O)c4cc(N)ccc4,HY-100207
FC(F)(F)c1cc(ccc1)NC(=O)c2c(C)n(c(c2)-c3ccccc3)CCCN4CCOCC4,HY-100208
FC(F)(F)c1cc(ccc1)NC(=O)c2c(C)n(c(c2)-c3ccccc3)CCC[NH+]4CCOCC4,HY-100208
C1[NH2+]C[C@H]2C[C@@H]1c(c23)cc4c(c3)nccn4,HY-10021
s1ccnc1NC(=O)[C@H](c2c(O)ccc(F)c2)N(C3=O)Cc(c34)cccc4,HY-100213
s1ccnc1NC(=O)[C@@H](c2c(O)ccc(F)c2)N(C3=O)Cc(c34)cccc4,HY-100213
s1ccnc1\N=C([O-])\[C@H](c2c(O)ccc(F)c2)N(C3=O)Cc(c34)cccc4,HY-100213
s1ccnc1\N=C([O-])\[C@@H](c2c(O)ccc(F)c2)N(C3=O)Cc(c34)cccc4,HY-100213
NNC(=O)CCCC[C@@H]1SC[C@@H]([C@@H]12)NC(=O)N2,HY-100215
[O-]C(=O)[C@@H]([NH3+])c1c[nH]c(c12)cccc2,HY-100217
[O-]C(=O)[C@H]([NH3+])c1c[nH]c(c12)cccc2,HY-100217
c1cccc2[nH]c(c3c12)[C@@H](N(C(=O)CCl)[C@H](C3)C(=O)OC)c(cc4)ccc4C(=O)OC,HY-100218A
c1cccc(OC)c1C(=O)Nc(c2)c(cc(c23)n(C)c(=O)n3C)N4CC[NH2+]C[C@H]4C,HY-100220
CC(C)(O)COc(nc1)ccc1-c2c(Oc(cc3C)cnc3)cc(nc2)NC(=O)NC,HY-100221
CCNC(=O)Nc(cc1)ccc1-c(nc(c23)C(C)(C)S(=O)(=O)C2)nc3N4CCOC[C@@H]4C,HY-100222
CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,HY-100223
c1ccccc1-n(c2C)nc(C)c2/C=N/N3CC[NH+](CC3)Cc4ccccc4,HY-100224
c1ccccc1[C@H](C)NC(=O)CCc([nH]c2=O)nc(c23)cccc3,HY-100225
c1ccccc1[C@H](C)NC(=O)CCc(nc2[O-])nc(c23)cccc3,HY-100225
NC(=O)c(c1)sc(c12)cncc2Sc(cc3)ccc3C,HY-100226
CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1[C@H](O1)C([O-])=O,HY-100227
c1ccccc1C(c2ccccc2)=CCC[N@@H+](C3)CCC[C@@H]3C([O-])=O,HY-100228A
c1ccccc1C(c2ccccc2)=CCC[N@@H+](C3)CCC[C@H]3C([O-])=O,HY-100228A
c1ccccc1C(c2ccccc2)=CCC[N@H+](C3)CCC[C@@H]3C([O-])=O,HY-100228A
c1ccccc1C(c2ccccc2)=CCC[N@H+](C3)CCC[C@H]3C([O-])=O,HY-100228A
CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1[C@H](O1)C(=O)OCC,HY-100229
COc(cc1)ccc1C[NH2+]Cc2cccc(c23)cccc3,HY-100230A
c1cccc(c12)/C(=N\O)c3c2nc4c(n3)cccc4,HY-100233
c1cccc(c12)Nc3c(cccc3)N=C2N4CC[NH2+]CC4,HY-100234
C1CCC1Nc(ncc2)cc2C(=O)NC[C@H](O)C[N@@H+](CC3)Cc(c34)cccc4,HY-100235
C1CCC1Nc(ncc2)cc2C(=O)NC[C@H](O)C[N@H+](CC3)Cc(c34)cccc4,HY-100235
Cc1c(C)nc([nH]c1=O)Nc(nc2C)nc(c23)cc(cc3)OC,HY-100236
C1CCCC[NH+]1Cc(c(O)c(c2)CC)c(c23)occ(c3=O)-c(n4)sc(c45)cccc5,HY-100237
C1CCCC[NH+]1Cc(c([O-])c(c2)CC)c(c23)occ(c3=O)-c(n4)sc(c45)cccc5,HY-100237
CC(C)OC(=O)C(=C1SCS1)/C([O-])=N/c(n2)scc2C,HY-100242
c1cccc(c1C([O-])=O)NC(=O)Nc(cc2C(F)(F)F)ccc2,HY-100244
c1ncccc1C(=O)N[C@@H](C(=O)N2CC3)N=C(c(c2c34)cc(c4)N)c5ccccc5,HY-100246
C1CCCN1c(c2C(C)(C)C)ccc(c2)-c3c(OCCO)ccc(c3)-c(cc4)ccc4C([O-])=O,HY-100256
CSc(cc1)ccc1C[N@H+](C2)CCC[C@H]2Nc(c3)ccc(c34)[nH]nc4,HY-100270
CSc(cc1)ccc1C[N@H+](C2)CCC[C@@H]2Nc(c3)ccc(c34)[nH]nc4,HY-100270
CSc(cc1)ccc1C[N@@H+](C2)CCC[C@H]2Nc(c3)ccc(c34)[nH]nc4,HY-100270
CSc(cc1)ccc1C[N@@H+](C2)CCC[C@@H]2Nc(c3)ccc(c34)[nH]nc4,HY-100270
CC(C)(C)NC(=O)c(c1N)sc(c12)nc(SC)nc2-c3cc(OC)ccc3,HY-100271
