SMILES,Title
s1ccnc1N(C)[C@@H]2[C@H](O)CCC2,F6438-6383
s1cc[nH+]c1N(C)[C@@H]2[C@H](O)CCC2,F6438-6383
C1CCn(c12)c(nn2)C[NH+](CC3)CCC3=C4CC4,F6540-6686
C1CCn(c12)c(nn2)CN(CC3)CCC3=C4CC4,F6540-6686
FC(F)(F)C1CCN(CC1)c2ncccn2,F6540-9102
FC(F)(F)[C@H]1CC[N@@H+](CC1)Cc2cocn2,F6540-9146
FC(F)(F)C1CCN(CC1)Cc2cocn2,F6540-9146
O[C@@H]1CCC[N@@H+](C1)Cc2cccc(n2)C,F6541-0771
O[C@@H]1CCCN(C1)Cc2cccc(n2)C,F6541-0771
o1c(Br)ccc1C[N@H+](C2)CCC[C@H]2O,F6541-0776
o1c(Br)ccc1CN(C2)CCC[C@H]2O,F6541-0776
Cc(n1)scc1CN2CCOCC2,F6541-1082
Cc(n1)scc1C[NH+]2CCOCC2,F6541-1082
OCC1CCN(CC1)c2nccs2,F6541-1880
OCC1CCN(CC1)c2[nH+]ccs2,F6541-1880
N1CCN(CC1=O)Cc2c(C)noc2C,F6541-2457
N1CC[N@H+](CC1=O)Cc2c(C)noc2C,F6541-2457
C1CCCc(c12)ncnc2N(CC3=O)CCN3,F6541-2593
C1CCCc(c12)[nH+]cnc2N(CC3=O)CCN3,F6541-2593
Cc(n1)scc1C[N@@H+]2CCC[C@H]2CO,F6541-4509
Cc(n1)scc1CN2CCC[C@H]2CO,F6541-4509
OC[C@@H]1CCCN1c(c2)nnc(c23)CCC3,F6541-4511
FC(F)(F)c1ccnc(n1)N2CCC[C@H]2CO,F6541-4551
CCc1c(F)c(ncn1)N(C2)CC[C@H]2O,F6541-4714
CCc1c(F)c(nc[nH+]1)N(C2)CC[C@H]2O,F6541-4714
CN(C)c1cc([nH+]cn1)N(C2)CC[C@H]2O,F6541-4749
CN(C)c1cc(ncn1)N(C2)CC[C@H]2O,F6541-4749
C1CCC1[NH+](CC2)CCN2c3ccccn3,F6541-4856
CN1C[C@@H](CC1=O)C[NH+](CC2)CCN2c3ccccn3,F6541-4871
O=C1CC[C@H](N1C)C[NH+](CC2)CCN2c3ccccn3,F6541-4874
O=C1CC[C@H](N1C)CN2CCN(CC2)c3ccccn3,F6541-4874
CC(C)[NH+](CC1)CCN1c(nc2)ncc2Cl,F6541-5263
CC(C)N1CCN(CC1)c(nc2)ncc2Cl,F6541-5263
C1CC1c2cc(nc[nH+]2)N3[C@@H](CC[C@@H]34)C[C@H](C4)O,F6541-7579
C1CC1c2cc(nc[nH+]2)N3[C@@H](CC[C@@H]34)C[C@@H](C4)O,F6541-7579
C1CC1c2cc(ncn2)N3[C@@H](CC[C@@H]34)C[C@H](C4)O,F6541-7579
C1CC1c2cc(ncn2)N3[C@@H](CC[C@@H]34)C[C@@H](C4)O,F6541-7579
Cc1ccnc(n1)N(CC2)CCC2(F)F,F6543-0175
FCC[NH+](CC1)CCN1c(nc2)ncc2F,F6543-1088
FCCN1CCN(CC1)c(nc2)ncc2F,F6543-1088
N#CC1CN(C1)c(nn2)ccc2C(C)(C)C,F6543-1294
FC(F)(F)c1cc(ncn1)N2C[C@@H](C[C@@H]23)OC3,F6543-2013
CCc1c(F)c(ncn1)N(C2)CC2CF,F6543-5380
CCc1c(F)c(ncn1)N2CCSCC2,F6543-8808
Cc1c(C)ncnc1N2CCSCC2,F6543-8838
Cc1c(C)[nH+]cnc1N2CCSCC2,F6543-8838
CN(C)c1cc[nH+]c(n1)N2CCSCC2,F6543-8843
CN(C)c1ccnc([nH+]1)N2CCSCC2,F6543-8843
CN(C)c1ccnc(n1)N2CCSCC2,F6543-8843
CN(C)c1cc([nH+]cn1)N2CCSCC2,F6543-8844
CN(C)c1cc(ncn1)N2CCSCC2,F6543-8844
Cc1ccnc(n1)N2C[C@@H](C[C@@H]23)SC3,F6543-9051
COC1CCN(CC1)c(nc2)ncc2Br,F6544-0088
c1cnccc1C[N@H+](CC2)CC[C@@H]2OC,F6544-0118
c1cnccc1CN(CC2)CCC2OC,F6544-0118
FC(F)(F)CN1CCN(CC1)c2n(C)cc[nH+]2,F6544-1386
CC(=O)[C@@H]1CCN(C1)c(n2)nc(C)cc2C,F6545-0140
O[C@@H]1CCC[N@@H+](C1)Cc2ccc(nc2)OC,F6545-6677
O[C@@H]1CCCN(C1)Cc2ccc(nc2)OC,F6545-6677
n1oc(C)cc1CN[C@@H]2[C@@H](F)CCC2,F6547-1188
n1oc(C)cc1C[NH2+][C@@H]2[C@@H](F)CCC2,F6547-1188
C1CCC12[C@@H](C([O-])=O)CN(C2)c(n3)nccc3C(F)(F)F,F6559-5304
[nH]1c(=O)n(C)c(=O)cc1N2C[C@@H](C[C@@H]23)OC3,F6559-5998
COc1ccnc(n1)N2C[C@@H](C[C@@H]23)OC3,F6559-6000
FC(F)(F)c1cc(ncn1)N2C[C@@H](C[C@@H]23)SC3,F6559-6035
COc1ccnc(n1)N2C[C@@H](C[C@@H]23)SC3,F6559-6038
COc1cc[nH+]c(n1)N2C[C@@H](C[C@@H]23)SC3,F6559-6038
n1cccnc1NC(CC2)CCC2(F)F,F6572-0833
C1C[N@@H+](C)CC[C@@H]1Oc2nccs2,F6608-0421
C1CN(C)CCC1Oc2nccs2,F6608-0421
s1ccnc1OCC2CC[NH2+]CC2,F6608-0472
Cc1c(C)sc(n1)O[C@@H]2CC[NH2+]C2,F6608-1143
Cc1c(C)sc([nH+]1)O[C@@H]2CC[NH2+]C2,F6608-1143
Cc1csc(n1)O[C@H]2CC[N@@H+](C)C2,F6608-1169
Cc1csc([nH+]1)O[C@H]2CC[N@@H+](C)C2,F6608-1169
C1CCc(c12)nc(C)nc2N(CC3=O)CCN3,F6610-0899
C1CCc(c12)[nH+]c(C)nc2N(CC3=O)CCN3,F6610-0899
n1cn(C)c(=O)cc1N2CCCOCC2,F6614-4691
OC[C@@H]1CCCCN1c(c2F)ncnc2,F6616-1368
[C@@H]12CC[C@@H](CC=C1)[N@H+]2Cc3coc(n3)C,F6540-0911
[C@@H]12CC[C@@H](CC=C1)N2Cc3coc(n3)C,F6540-0911
C=C1CCC[N@@H+](C1)Cc2c(C)noc2C,F6540-1052
C=C1CCCN(C1)Cc2c(C)noc2C,F6540-1052
CCc1c(F)c(ncn1)N(C2)CC2OC,F6540-3767
CN(C)c1cc[nH+]c(n1)N(C2)CC2OC,F6540-3826
CN(C)c1ccnc([nH+]1)N(C2)CC2OC,F6540-3826
CN(C)c1ccnc(n1)N(C2)CC2OC,F6540-3826
Cc(n1)scc1C[N@@H+](C2)CC[C@H]2OC,F6540-3955
Cc(n1)scc1CN(C2)CC[C@H]2OC,F6540-3955
FC(F)(F)c1cc(ncn1)N(C2)CC[C@H]2OC,F6540-4049
C1CC1=C2CCN(CC2)c3nncs3,F6540-6710
FC(F)(F)c1cc(nc(n1)C)N(C2)CC[C@H]2O,F6541-4700
FCC[NH+](CC1)CCN1c2ncccn2,F6543-1084
FCCN1CCN(CC1)c2ncccn2,F6543-1084
FCC[NH+](CC1)CCN1c(nc2)ncc2Br,F6543-1087
FCCN1CCN(CC1)c(nc2)ncc2Br,F6543-1087
FCC[NH+](CC1)CCN1c(nc2)ncc2Cl,F6543-1089
